date,title,text,source,url,ticker,publisher,query,article_length,word_count,collection_date,finbert_label,finbert_score,finbert_sentiment,vader_compound,vader_label,textblob_polarity,textblob_label,date_only,spacy_entities_json,bert_entities_json,all_entities_json,num_entities,num_orgs,num_persons,num_locations
2026-01-18 12:19:48,American Express Company $AXP Shares Acquired by Nations Financial Group Inc. IA ADV - MarketBeat,American Express Company $AXP Shares Acquired by Nations Financial Group Inc. IA ADV&nbsp;&nbsp;MarketBeat,Google News,https://news.google.com/rss/articles/CBMi2wFBVV95cUxOc0RtWnVJa2lEMFRJSXZRbVkwV1FIakpuNjBqUlE4c0dES2dIR3BxWENCd1NzdkQtZjhLRUpJY0ZzUDdFNHFVSnNxQmw5RE90aVpkcU1LWXFSNjN3S2doNlZUVmRxNVdGZjA0MndFVlVxN0dMX1gxQ3I0RmludTA2WWMwd3FtMWNzcXNGaVh6bVc3VnlzUlZjWHpyN2ZBM2MwNnY0eWc0QWVCRDNPQ2RWY1lpc3BiUElpYzlYVDltRi0tbi1tdlBHaHBwYm45OXNCdHdOYTRpd013eDQ?oc=5,AXP,,AXP stock news,106,13,2026-01-18 18:10:41.105671,positive,0.296,0.296,0.296,positive,0.0,neutral,2026-01-18,"[{""text"": ""American Express Company $AXP Shares"", ""label"": ""ORG"", ""start"": 0, ""end"": 36}, {""text"": ""Nations Financial Group Inc."", ""label"": ""ORG"", ""start"": 49, ""end"": 77}, {""text"": ""IA"", ""label"": ""GPE"", ""start"": 78, ""end"": 80}]","[{""text"": ""American Express Company"", ""label"": ""ORG"", ""score"": 0.9992806315422058, ""start"": 0, ""end"": 24}, {""text"": ""Nations Financial Group Inc"", ""label"": ""ORG"", ""score"": 0.9993277192115784, ""start"": 49, ""end"": 76}, {""text"": ""IA AD"", ""label"": ""ORG"", ""score"": 0.8623384833335876, ""start"": 78, ""end"": 83}, {""text"": ""MarketBeat"", ""label"": ""ORG"", ""score"": 0.936427116394043, ""start"": 96, ""end"": 106}]","[{""text"": ""American Express Company $AXP Shares"", ""label"": ""ORG"", ""source"": ""spacy""}, {""text"": ""Nations Financial Group Inc."", ""label"": ""ORG"", ""source"": ""spacy""}, {""text"": ""IA"", ""label"": ""GPE"", ""source"": ""spacy""}, {""text"": ""American Express Company"", ""label"": ""ORG"", ""source"": ""bert""}, {""text"": ""Nations Financial Group Inc"", ""label"": ""ORG"", ""source"": ""bert""}, {""text"": ""IA AD"", ""label"": ""ORG"", ""source"": ""bert""}, {""text"": ""MarketBeat"", ""label"": ""ORG"", ""source"": ""bert""}]",7,6,0,1
2026-01-18 12:15:12,Apple stock price slips to $255 ahead of a holiday-shortened week — AAPL earnings are the next test - TechStock²,Apple stock price slips to $255 ahead of a holiday-shortened week — AAPL earnings are the next test&nbsp;&nbsp;TechStock²,Google News,https://news.google.com/rss/articles/CBMiuAFBVV95cUxQODJZMVExWFJXSFpxWUN3S3ZBQ0VyeUVFVncxVHBweEhyRjVHemxUcmIxWEdIX3RmWDZRWnVaZW4yTThpdklMT3BVUUlEVUtIZGZOeUJyMWRGSk9rQVNwNTNmLTQ0elQ2MHp4ZV9uaWMxVUpKNVhvNUdYYlhzUEZWdFVWTlBOTFNFYnBybG83RFJscG1RTVBNeDZzaDVsY1dhR25paXlVSW43OVRCT01MTERNZHRzbk5F?oc=5,AAPL,,AAPL stock news,121,18,2026-01-18 18:10:41.105671,neutral,0.0,0.0,0.0,neutral,0.0,neutral,2026-01-18,"[{""text"": ""Apple"", ""label"": ""ORG"", ""start"": 0, ""end"": 5}, {""text"": ""255"", ""label"": ""MONEY"", ""start"": 28, ""end"": 31}, {""text"": ""test&nbsp;&nbsp;TechStock\u00b2"", ""label"": ""ORG"", ""start"": 95, ""end"": 121}]","[{""text"": ""Apple"", ""label"": ""ORG"", ""score"": 0.9914073348045349, ""start"": 0, ""end"": 5}, {""text"": ""S"", ""label"": ""ORG"", ""score"": 0.6595770716667175, ""start"": 115, ""end"": 116}]","[{""text"": ""Apple"", ""label"": ""ORG"", ""source"": ""spacy""}, {""text"": ""255"", ""label"": ""MONEY"", ""source"": ""spacy""}, {""text"": ""test&nbsp;&nbsp;TechStock\u00b2"", ""label"": ""ORG"", ""source"": ""spacy""}, {""text"": ""Apple"", ""label"": ""ORG"", ""source"": ""bert""}, {""text"": ""S"", ""label"": ""ORG"", ""source"": ""bert""}]",5,4,0,0
2026-01-18 12:00:26,Amgen Inc. (NASDAQ:AMGN) is largely controlled by institutional shareholders who own 80% of the company - Yahoo Finance,Amgen Inc. (NASDAQ:AMGN) is largely controlled by institutional shareholders who own 80% of the company&nbsp;&nbsp;Yahoo Finance,Google News,https://news.google.com/rss/articles/CBMigAFBVV95cUxPVkp3RkpfNks1WVRSOXRfRXZ1X0QtdFU0c1k1NktZbmUwU1RGZE1rZXhDMXJqVURhaURmcGpnV0YwTjRJczY0Q0luRE5uSWJJR3M1YzBLNWhKbGxXUHppWDY5QkE4OVZJRjI3al9ZaXhGWnpfNUFHOXU0eThPOEQ1dQ?oc=5,AMGN,,AMGN stock news,128,16,2026-01-18 18:10:41.105671,neutral,0.0,0.0,0.0,neutral,0.4071428571428571,positive,2026-01-18,"[{""text"": ""Amgen Inc."", ""label"": ""ORG"", ""start"": 0, ""end"": 10}, {""text"": ""AMGN"", ""label"": ""PERSON"", ""start"": 19, ""end"": 23}, {""text"": ""80%"", ""label"": ""PERCENT"", ""start"": 85, ""end"": 88}, {""text"": ""the company&nbsp;&nbsp;Yahoo Finance"", ""label"": ""ORG"", ""start"": 92, ""end"": 128}]","[{""text"": ""Amgen Inc"", ""label"": ""ORG"", ""score"": 0.9992440342903137, ""start"": 0, ""end"": 9}, {""text"": ""AM"", ""label"": ""ORG"", ""score"": 0.6150994896888733, ""start"": 19, ""end"": 21}, {""text"": ""Yahoo Finance"", ""label"": ""ORG"", ""score"": 0.9973828792572021, ""start"": 115, ""end"": 128}]","[{""text"": ""Amgen Inc."", ""label"": ""ORG"", ""source"": ""spacy""}, {""text"": ""AMGN"", ""label"": ""PERSON"", ""source"": ""spacy""}, {""text"": ""80%"", ""label"": ""PERCENT"", ""source"": ""spacy""}, {""text"": ""the company&nbsp;&nbsp;Yahoo Finance"", ""label"": ""ORG"", ""source"": ""spacy""}, {""text"": ""Amgen Inc"", ""label"": ""ORG"", ""source"": ""bert""}, {""text"": ""AM"", ""label"": ""ORG"", ""source"": ""bert""}, {""text"": ""Yahoo Finance"", ""label"": ""ORG"", ""source"": ""bert""}]",7,5,1,0
2026-01-18 11:43:58,BAC Stock Gains On Bullish Q4 Print Guides For Mid-Single Digit NII Growth In FY26 - Menafn,BAC Stock Gains On Bullish Q4 Print Guides For Mid-Single Digit NII Growth In FY26&nbsp;&nbsp;Menafn,Google News,https://news.google.com/rss/articles/CBMisgFBVV95cUxQcmhhU3d4cE9tb21hLUlBMktzdVdpZ25SZlNaUlZWbG5HSmN0Y3ZMcEdzZ19zQjdTbmVZenFWb2dOZHFkNlZrRU1nbDNIb3Y4TmxoRjk3UmU0ZXJ4cTlUdmFpYTgteWEwWDNUUnhQT2licm5hTEw4VmdGWE9raFBhUEhROWY2WlNJNTk2bGFJMUtWZThNVkVNYkhSbkZFUG5oUUdwemY2NmtLQ2hoNFowZHFB?oc=5,BAC,,BAC stock news,100,15,2026-01-18 18:10:41.105671,positive,0.6124,0.6124,0.6124,positive,0.0,neutral,2026-01-18,"[{""text"": ""BAC Stock Gains On Bullish Q4 Print Guides"", ""label"": ""ORG"", ""start"": 0, ""end"": 42}, {""text"": ""FY26&nbsp;&nbsp;Menafn"", ""label"": ""GPE"", ""start"": 78, ""end"": 100}]",[],"[{""text"": ""BAC Stock Gains On Bullish Q4 Print Guides"", ""label"": ""ORG"", ""source"": ""spacy""}, {""text"": ""FY26&nbsp;&nbsp;Menafn"", ""label"": ""GPE"", ""source"": ""spacy""}]",2,1,0,1
2026-01-18 11:26:14,Strong Analyst Confidence in Alibaba Group Holding (BABA) Amid AI and Cloud Momentum - Finviz,Strong Analyst Confidence in Alibaba Group Holding (BABA) Amid AI and Cloud Momentum&nbsp;&nbsp;Finviz,Google News,https://news.google.com/rss/articles/CBMiswFBVV95cUxNNDJaZFJNNGQ1X2hWY0dyZTdfZnJFMmxfcFUtbkU3ck0zUmtReHcwRWRnTW9yd2RpMVpZVkpmYjVwNHdTZmdKT3dNc2x1bkpscFI3TkVxNGZqWl9SSlBPY2Ytem5QRzVkRGVKd3Z0QTFna0JkSlB3a1pqNWtpLXZheERybW0xb0h1MEtaeU5GUGp2NWF4Z1J4MG9JVC00TldxTUZaS2hvZkUyM29LcF9jbWd0TQ?oc=5,BABA,,BABA stock news,102,13,2026-01-18 18:10:41.105671,positive,0.765,0.765,0.765,positive,0.4333333333333333,positive,2026-01-18,"[{""text"": ""Alibaba Group Holding"", ""label"": ""ORG"", ""start"": 29, ""end"": 50}]","[{""text"": ""Alibaba Group Holding"", ""label"": ""ORG"", ""score"": 0.9990648031234741, ""start"": 29, ""end"": 50}, {""text"": ""BABA"", ""label"": ""ORG"", ""score"": 0.9917346239089966, ""start"": 52, ""end"": 56}, {""text"": ""Moment"", ""label"": ""ORG"", ""score"": 0.5641540288925171, ""start"": 76, ""end"": 82}, {""text"": ""vi"", ""label"": ""ORG"", ""score"": 0.6775946617126465, ""start"": 99, ""end"": 101}]","[{""text"": ""Alibaba Group Holding"", ""label"": ""ORG"", ""source"": ""spacy""}, {""text"": ""Alibaba Group Holding"", ""label"": ""ORG"", ""source"": ""bert""}, {""text"": ""BABA"", ""label"": ""ORG"", ""source"": ""bert""}, {""text"": ""Moment"", ""label"": ""ORG"", ""source"": ""bert""}, {""text"": ""vi"", ""label"": ""ORG"", ""source"": ""bert""}]",5,5,0,0
2026-01-18 06:02:38,Abbott Laboratories (ABT) Positioned to Benefit as Healthcare Sector Enters Recovery Phase - Finviz,Abbott Laboratories (ABT) Positioned to Benefit as Healthcare Sector Enters Recovery Phase&nbsp;&nbsp;Finviz,Google News,https://news.google.com/rss/articles/CBMiuwFBVV95cUxNc0ZQV2ZYMklYcWdaY2hTUThWejR1U181U3YwUEJiM3Y0cjJqUExLZmlySlVrTHY1QjZ0SHpjUFVNRnNRa3JuSkptRlJ0UUdkVnJvV2JHSGlUbVNHQ2lJYWFZcFhINEhXUFZpQkIzOU5HQ2YwTnVWZUNsbmhsNV9paFhjeWxaWHV6eDRQSDdXWHB4N01INi16MDF3UXc4dTFCWkt2Nll5WHZna0ptaWN6YTRlTTFROE1hYlI0?oc=5,ABT,,ABT stock news,108,12,2026-01-18 18:10:41.105671,positive,0.4588,0.4588,0.4588,positive,0.0,neutral,2026-01-18,"[{""text"": ""Abbott Laboratories"", ""label"": ""ORG"", ""start"": 0, ""end"": 19}, {""text"": ""ABT) Positioned to Benefit"", ""label"": ""ORG"", ""start"": 21, ""end"": 47}]","[{""text"": ""Abbott Laboratories"", ""label"": ""ORG"", ""score"": 0.9992720484733582, ""start"": 0, ""end"": 19}, {""text"": ""ABT"", ""label"": ""ORG"", ""score"": 0.9903544187545776, ""start"": 21, ""end"": 24}, {""text"": ""Healthcare Sector"", ""label"": ""ORG"", ""score"": 0.7951030135154724, ""start"": 51, ""end"": 68}]","[{""text"": ""Abbott Laboratories"", ""label"": ""ORG"", ""source"": ""spacy""}, {""text"": ""ABT) Positioned to Benefit"", ""label"": ""ORG"", ""source"": ""spacy""}, {""text"": ""Abbott Laboratories"", ""label"": ""ORG"", ""source"": ""bert""}, {""text"": ""ABT"", ""label"": ""ORG"", ""source"": ""bert""}, {""text"": ""Healthcare Sector"", ""label"": ""ORG"", ""source"": ""bert""}]",5,5,0,0
2026-01-17 23:07:57,AMD stock price rises into long weekend as $311 million data-center lease puts AI demand in focus - TechStock²,AMD stock price rises into long weekend as $311 million data-center lease puts AI demand in focus&nbsp;&nbsp;TechStock²,Google News,https://news.google.com/rss/articles/CBMiuAFBVV95cUxOdVNKdlJuTWdEYndwQmlsaHlDT0I2Zk1BamdwRzNsaWZSNzZLUVRlSnVWTkdUMkVoenc1RjRZY0EyenJRNEd5UWxhS3cxZDY2d0h3WmdXWjJ6bVVXcXdiMkt0a2VVYWt6WERtRVR2dHBKaW5sQXR1ZHptYmg3T3dvYlUxbEhHMU41NndnSldvV3U2NFlFbFZQYk5mSFd3TDhmM054d1VMOC0wbENxMFRjQVVGZDlVaVFP?oc=5,AMD,,AMD stock news,119,17,2026-01-18 18:10:41.105671,negative,0.128,-0.128,-0.128,negative,-0.05,negative,2026-01-17,"[{""text"": ""AMD"", ""label"": ""ORG"", ""start"": 0, ""end"": 3}, {""text"": ""long weekend"", ""label"": ""DATE"", ""start"": 27, ""end"": 39}, {""text"": ""$311 million"", ""label"": ""MONEY"", ""start"": 43, ""end"": 55}, {""text"": ""AI"", ""label"": ""ORG"", ""start"": 79, ""end"": 81}, {""text"": ""focus&nbsp;&nbsp;TechStock\u00b2"", ""label"": ""PRODUCT"", ""start"": 92, ""end"": 119}]","[{""text"": ""AMD"", ""label"": ""ORG"", ""score"": 0.9876213073730469, ""start"": 0, ""end"": 3}, {""text"": ""AI"", ""label"": ""MISC"", ""score"": 0.5048347115516663, ""start"": 79, ""end"": 81}, {""text"": ""S"", ""label"": ""ORG"", ""score"": 0.9437915682792664, ""start"": 113, ""end"": 114}]","[{""text"": ""AMD"", ""label"": ""ORG"", ""source"": ""spacy""}, {""text"": ""long weekend"", ""label"": ""DATE"", ""source"": ""spacy""}, {""text"": ""$311 million"", ""label"": ""MONEY"", ""source"": ""spacy""}, {""text"": ""AI"", ""label"": ""ORG"", ""source"": ""spacy""}, {""text"": ""focus&nbsp;&nbsp;TechStock\u00b2"", ""label"": ""PRODUCT"", ""source"": ""spacy""}, {""text"": ""AMD"", ""label"": ""ORG"", ""source"": ""bert""}, {""text"": ""AI"", ""label"": ""MISC"", ""source"": ""bert""}, {""text"": ""S"", ""label"": ""ORG"", ""source"": ""bert""}]",8,4,0,0
2026-01-17 20:35:31,American Express (AXP) stock price rises ahead of rate-cap week — what investors watch next - TechStock²,American Express (AXP) stock price rises ahead of rate-cap week — what investors watch next&nbsp;&nbsp;TechStock²,Google News,https://news.google.com/rss/articles/CBMirAFBVV95cUxOVkhvN2dBczM3UkZGYzdJSXBrUzJZNnJCcnhROWVWNWg2NGQwVnFpMmRoN3ZKaExTYndDd1ozRHotVVdKUGZkbEJKM2JzMDB6UDhRLXdjOUtKTXNiS1lPSEJEODBPbzA2Z09ibEZ2eWQ3SUphZTBSSF9fMlY3dWVkOU5udkV0ZXBaOER5N3BxX1pER3JqcF8tMnZQQk84TWRHUk4xdEFRMGZ5a004?oc=5,AXP,,AXP stock news,113,15,2026-01-18 18:10:41.105671,neutral,0.0,0.0,0.0,neutral,0.0,neutral,2026-01-17,"[{""text"": ""American Express"", ""label"": ""ORG"", ""start"": 0, ""end"": 16}]","[{""text"": ""American Express"", ""label"": ""ORG"", ""score"": 0.9988423585891724, ""start"": 0, ""end"": 16}, {""text"": ""AXP"", ""label"": ""ORG"", ""score"": 0.9046039581298828, ""start"": 18, ""end"": 21}, {""text"": ""S"", ""label"": ""ORG"", ""score"": 0.9199498891830444, ""start"": 107, ""end"": 108}]","[{""text"": ""American Express"", ""label"": ""ORG"", ""source"": ""spacy""}, {""text"": ""American Express"", ""label"": ""ORG"", ""source"": ""bert""}, {""text"": ""AXP"", ""label"": ""ORG"", ""source"": ""bert""}, {""text"": ""S"", ""label"": ""ORG"", ""source"": ""bert""}]",4,4,0,0
2026-01-17 15:00:21,The Goldman Sachs Group Has Lowered Expectations for American Tower (NYSE:AMT) Stock Price - MarketBeat,The Goldman Sachs Group Has Lowered Expectations for American Tower (NYSE:AMT) Stock Price&nbsp;&nbsp;MarketBeat,Google News,https://news.google.com/rss/articles/CBMi2AFBVV95cUxONWRIbU8zWlEyNUZ0MnU4ak9XUHctWm52MHFRM2diQ3RBWlJDWTlWaS1SWDN2cnNTbURfaF9jYzBmSUgwelhNaFYteVN4eWo5OTZMWW1oTko1WE5zSGhHYmUxN090UWhCYzB3NENHOTVfbkp0VEE1enF5NlhvNG9BeGRpdk1fOGV5S2c5SS1nTUhnZFJDTWZBQXFLSDIzREtxLVRnb1BtN1hBOG1mQUpseWJxRndjSVNtSHRDREtnaTFZclZ4TWJsUWJsNGNjc1E2SmFQQnNXTTg?oc=5,AMT,,AMT stock news,112,13,2026-01-18 18:10:41.105671,negative,0.128,-0.128,-0.128,negative,0.0,neutral,2026-01-17,"[{""text"": ""The Goldman Sachs Group"", ""label"": ""ORG"", ""start"": 0, ""end"": 23}, {""text"": ""Lowered Expectations"", ""label"": ""ORG"", ""start"": 28, ""end"": 48}, {""text"": ""American Tower"", ""label"": ""ORG"", ""start"": 53, ""end"": 67}, {""text"": ""NYSE"", ""label"": ""ORG"", ""start"": 69, ""end"": 73}]","[{""text"": ""Goldman Sachs Group"", ""label"": ""ORG"", ""score"": 0.9991795420646667, ""start"": 4, ""end"": 23}, {""text"": ""American Tower"", ""label"": ""LOC"", ""score"": 0.4841049909591675, ""start"": 53, ""end"": 67}, {""text"": ""B"", ""label"": ""ORG"", ""score"": 0.9390972256660461, ""start"": 108, ""end"": 109}]","[{""text"": ""The Goldman Sachs Group"", ""label"": ""ORG"", ""source"": ""spacy""}, {""text"": ""Lowered Expectations"", ""label"": ""ORG"", ""source"": ""spacy""}, {""text"": ""American Tower"", ""label"": ""ORG"", ""source"": ""spacy""}, {""text"": ""NYSE"", ""label"": ""ORG"", ""source"": ""spacy""}, {""text"": ""Goldman Sachs Group"", ""label"": ""ORG"", ""source"": ""bert""}, {""text"": ""American Tower"", ""label"": ""LOC"", ""source"": ""bert""}, {""text"": ""B"", ""label"": ""ORG"", ""source"": ""bert""}]",7,6,0,1
2026-01-17 14:02:00,Accenture Stock (ACN) Opinions on AI Revenue Surge and Digital Identity Partnership - Quiver Quantitative,Accenture Stock (ACN) Opinions on AI Revenue Surge and Digital Identity Partnership&nbsp;&nbsp;Quiver Quantitative,Google News,https://news.google.com/rss/articles/CBMivAFBVV95cUxOODJyWGpEYzNEcTJ4aWdEeFY3QXl5d2xHdDFLSkxhaGh2ZHNnNDYweS13ZW5Td09tUDB3di03N0x2bFQxNG9ZSkpKdXFpeU9LcjJPYWpQWXc2bEhrdExNYWw3VlFCbVhodWFMUHlhcFhKdm9XQy1pMWV1TkdnU3pSQ2R2UjMtRlZza1F1ajh4MWNZOHNlTE50ZzhhQ0haZGJ4RThnX1R4YVp0TURfSEduUkhHMmJRb2t2aTRXeQ?oc=5,ACN,,ACN stock news,114,13,2026-01-18 18:10:41.105671,neutral,0.0,0.0,0.0,neutral,0.0,neutral,2026-01-17,"[{""text"": ""AI Revenue Surge"", ""label"": ""ORG"", ""start"": 34, ""end"": 50}, {""text"": ""Digital Identity Partnership&nbsp;&nbsp;Quiver Quantitative"", ""label"": ""ORG"", ""start"": 55, ""end"": 114}]","[{""text"": ""AI Revenue Surge"", ""label"": ""ORG"", ""score"": 0.9665697813034058, ""start"": 34, ""end"": 50}, {""text"": ""Digital Identity Partnership"", ""label"": ""ORG"", ""score"": 0.8627017140388489, ""start"": 55, ""end"": 83}]","[{""text"": ""AI Revenue Surge"", ""label"": ""ORG"", ""source"": ""spacy""}, {""text"": ""Digital Identity Partnership&nbsp;&nbsp;Quiver Quantitative"", ""label"": ""ORG"", ""source"": ""spacy""}, {""text"": ""AI Revenue Surge"", ""label"": ""ORG"", ""source"": ""bert""}, {""text"": ""Digital Identity Partnership"", ""label"": ""ORG"", ""source"": ""bert""}]",4,4,0,0
