ticker,total_articles,total_events,avg_impact,most_common_event,event_diversity,high_impact_events
APA,4,1,0.11299,EARNINGS_ANNOUNCEMENT,1,0
AXP,2,0,0.0,NONE,0,0
BBD,2,0,0.0,NONE,0,0
AEP,1,0,0.0,NONE,0,0
AVB,3,0,0.0,NONE,0,0
ADBE,2,0,0.0,NONE,0,0
AMZN,2,0,0.0,NONE,0,0
BA,4,0,0.0,NONE,0,0
ASML,2,0,0.0,NONE,0,0
AVGO,6,0,0.0,NONE,0,0
AAPL,2,0,0.0,NONE,0,0
ACN,3,0,0.0,NONE,0,0
AMT,3,0,0.0,NONE,0,0
AMD,4,0,0.0,NONE,0,0
ABT,7,0,0.0,NONE,0,0
BABA,6,0,0.0,NONE,0,0
BAC,5,0,0.0,NONE,0,0
AMGN,2,0,0.0,NONE,0,0
AZN,3,0,0.0,NONE,0,0
