ticker,finbert_sentiment,vader_compound,article_count
BBD,0.38634999999999997,0.38634999999999997,2
BABA,0.32993333333333336,0.32993333333333336,6
BAC,0.31618,0.31618,5
AMD,0.30117499999999997,0.30117499999999997,4
ASML,0.28595,0.28595,2
BA,0.25222500000000003,0.25222500000000003,4
APA,0.24535,0.24535,4
ACN,0.1589,0.1589,3
AXP,0.148,0.148,2
AVB,0.12040000000000001,0.12040000000000001,3
AVGO,0.051,0.051,6
AMZN,-0.0242,-0.0242,2
AMT,-0.042666666666666665,-0.042666666666666665,3
AZN,-0.057066666666666675,-0.057066666666666675,3
AMGN,-0.07655,-0.07655,2
ABT,-0.07968571428571429,-0.07968571428571429,7
AAPL,-0.28595,-0.28595,2
ADBE,-0.50975,-0.50975,2
