ticker,date,title,trading_signal,signal_category,finbert_sentiment,event_impact_score
BAC,2026-01-14 15:38:51,BAC stock today falls despite Bank of America beating Q4 earnings estimates: What investors are worried ab - The Economic Times,-0.4058426959443092,Sell,-0.6369,0.0
AAPL,2026-01-14 08:02:00,"This Unstoppable Stock Has 4 Catalysts to Fuel Its Membership in the $5 Trillion Club in 2026, According to 1 Wall Street Analyst. - The Motley Fool",,Strong Sell,-0.5719,0.0
ABT,2025-12-27 08:00:00,Is Weakness In Abbott Laboratories (NYSE:ABT) Stock A Sign That The Market Could be Wrong Given Its Strong Financial Prospects? - Yahoo Finance,,Strong Sell,-0.3818,0.0
ACN,2026-01-14 14:00:03,Accenture PLC (ACN) is Attracting Investor Attention: Here is What You Should Know - Yahoo Finance,,Strong Sell,0.4767,0.0
ADBE,2026-01-13 16:20:04,Adobe Stock Drops as The Most Pessimistic Analyst Forecast Since 2013 Hits ADBE Shares - TipRanks,,Strong Sell,-0.4201,0.0
AEP,2025-12-27 08:00:00,American Electric Power Stock (AEP) Opinions on Recent Performance and Growth Plans - Quiver Quantitative,,Strong Sell,0.3818,0.0
AMD,2026-01-15 17:40:17,AMD Stock Jumps -- Wells Fargo Names It Top 2026 Pick - Yahoo Finance,,Strong Sell,0.6808,0.0
AMGN,2026-01-16 21:21:00,"Lobbying Update: $60,000 of AMGEN INC. FKA HORIZON THERAPEUTICS USA INC. lobbying was just disclosed - Quiver Quantitative",,Strong Sell,-0.1531,0.0
AMZN,2026-01-14 12:30:37,Amazon Stock (NASDAQ: AMZN) Price Prediction and Forecast 2026-2030 for January 14 - 24/7 Wall St.,,Strong Sell,0.1779,0.0
ASML,2026-01-15 12:32:53,"Stocks making the biggest moves premarket: Taiwan Semiconductor, ASML, BlackRock and more - CNBC",,Strong Sell,0.0,0.0
AVGO,2026-01-14 12:45:18,Broadcom (NASDAQ: AVGO) Stock Price Prediction and Forecast 2026-2030 (Jan 2026) - 24/7 Wall St.,,Strong Sell,0.0,0.0
AXP,2026-01-17 20:35:31,American Express (AXP) stock price rises ahead of rate-cap week — what investors watch next - TechStock²,,Strong Sell,0.0,0.0
BA,2026-01-07 21:37:00,Boeing '26 Gets Strong Start As Airline Posts Largest Order Ever - Investor's Business Daily,,Strong Sell,0.5106,0.0
BABA,2026-01-16 00:58:45,Is It Time To Reassess Alibaba (BABA) After Its 111% One Year Share Price Surge - simplywall.st,,Strong Sell,0.296,0.0
BAC,2026-01-14 11:15:01,"Bank of America tops estimates on better-than-expected net interest income, equities trading - CNBC",,Strong Sell,0.743,0.0
